Company,LTP,Buy,Sell,open,high,low,pre. close ,52W high ,52w low ,Volume ,Gain\loss ,price Gain \loss ,Amit Rathore,amitrathore110409@gmail.com,Amit Rathore
IGL,474.4,NO,NO,488.55,489.05,474.3,486.1,515.7,343.75,834078,LOSS,-14.15,,,
LICHSGFIN,387.8,NO,NO,403,405.85,387,402.55,443.6,304.35,3485291,LOSS,-15.2,,,
TECHM,1115,NO,NO,1114,1118,1094.05,1119.05,1165,965.05,3492348,GAIN,1,,,
ATUL,6965.05,NO,NO,7074,7089.75,6902.05,7074.9,9812.9,6530,93247,LOSS,-108.95,,,
NTPC,186.2,NO,NO,184.55,187.5,183.75,184.5,188.7,134.95,15255365,GAIN,1.65,,,
NMDC,104.75,NO,YES,105.7,105.7,104.4,105.75,137.45,92.25,5907664,LOSS,-0.95,,,
AXISBANK,958.55,NO,NO,960,965.5,954.55,966.6,989.7,618.25,6188008,LOSS,-1.45,,,
IBULHSGFIN,116.1,NO,NO,114.95,117.5,113.6,114.55,158.65,89,18072794,GAIN,1.15,,,
ASTRAL,1960,NO,NO,1962.15,1972,1927.4,1951.7,2024.05,1203.9,489311,LOSS,-2.15,,,
BATAINDIA,1628,NO,NO,1634.1,1636.5,1614.45,1636.5,2004.9,1381.05,133758,LOSS,-6.1,,,
MUTHOOTFIN,1221.3,NO,NO,1214.9,1227,1195.05,1209.9,1239.6,911.25,468789,GAIN,6.4,,,
CANFINHOME,733.5,NO,NO,733,738.5,720.55,733.25,765.75,413.5,452389,GAIN,0.5,,,
LT,2392.9,NO,NO,2418.95,2427,2383.25,2416.25,2427,1481.5,1212955,LOSS,-26.05,,,
NATIONALUM,81.35,NO,YES,83.5,83.5,81.15,83.85,87,66.95,6197957,LOSS,-2.15,,,
SBILIFE,1264.95,NO,NO,1271.2,1274.9,1260.5,1276.5,1340.35,1051.55,1076729,LOSS,-6.25,,,
BHEL,84.7,NO,YES,85.5,85.5,83.35,85.75,91.55,43.5,17269470,LOSS,-0.8,,,
ABB,4235.7,NO,NO,4279.9,4303.8,4216.55,4270.5,4443.9,2213.65,204714,LOSS,-44.2,,,
BANKBARODA,192.1,YES,NO,193.3,194.15,190.55,193.3,198.55,94.4,14090074,LOSS,-1.2,,,
WIPRO,379.95,YES,NO,382.3,383,378.1,382.3,444.9,352,3235203,LOSS,-2.35,,,
HAVELLS,1284.3,NO,NO,1322.45,1326.85,1278.2,1325.4,1405.55,1024.5,1287346,LOSS,-38.15,,,
BRITANNIA,4979.8,NO,NO,4972.05,4986.95,4945.3,4987.05,5085.25,3360,191942,GAIN,7.75,,,
KOTAKBANK,1826.4,NO,NO,1833,1845.55,1823.9,1836.1,2064.4,1631,2584063,LOSS,-6.6,,,
INFY,1265.7,NO,NO,1276.45,1279.35,1263.35,1281.55,1672.6,1185.3,7239467,LOSS,-10.75,,,
ACC,1774.95,NO,NO,1830,1830.55,1760.7,1831.75,2785,1592.35,1080901,LOSS,-55.05,,,
VEDL,276.15,NO,YES,280.85,280.85,275.9,280.65,340.75,206,5178936,LOSS,-4.7,,,
HEROMOTOCO,2787.85,NO,NO,2825.25,2839.75,2765,2825.05,3026,2246,381689,LOSS,-37.4,,,
TATAPOWER,217.75,NO,NO,222,222.1,215.7,221.1,251.15,182.35,10890426,LOSS,-4.25,,,
BSOFT,340.1,NO,NO,349,350,339.8,344.2,378,250.25,5871422,LOSS,-8.9,,,
DLF,476.9,NO,NO,481,481.6,473,481.25,508.75,303.5,2583485,LOSS,-4.1,,,
ADANIENT,2229,NO,YES,2392.3,2392.3,2163.3,2397.25,4190,1017.45,15213238,LOSS,-163.3,,,
BALRAMCHIN,390.5,NO,NO,407.6,411.7,388.65,407,430.9,307.3,2909392,LOSS,-17.1,,,
MPHASIS,1834.35,NO,NO,1854.8,1857,1826.3,1855.05,2444.9,1660.05,347429,LOSS,-20.45,,,
CROMPTON,288,NO,NO,286.2,291,281.45,286.3,429,251,2283562,GAIN,1.8,,,
NESTLEIND,22550,YES,NO,22532.9,22619.95,22453.65,22532.9,23175.25,16700,43515,GAIN,17.1,,,
PIIND,3807.9,NO,NO,3862,3867.85,3792.75,3866.25,4011.15,2480.1,409182,LOSS,-54.1,,,
HINDALCO,407.75,NO,NO,416,416.95,407.45,420.05,504,311.1,5403772,LOSS,-8.25,,,
SIEMENS,3665,NO,NO,3697,3705.9,3640.1,3688.85,3938.4,2276.3,172186,LOSS,-32,,,
SYNGENE,727,NO,NO,728,728.95,717.05,728.2,755.95,535.1,375213,LOSS,-1,,,
GODREJCP,1033.5,NO,NO,1041.95,1044.45,1031.6,1040.9,1085.15,749,611409,LOSS,-8.45,,,
TRENT,1726.75,NO,NO,1710,1743.9,1694.7,1710.7,1743.9,1012,732596,GAIN,16.75,,,
APOLLOTYRE,417.2,NO,NO,416.9,420.65,410.45,415.1,427.6,174.4,2593725,GAIN,0.3,,,
DRREDDY,4992.95,NO,NO,4901,5015,4901,4899.45,5024,3997,558228,GAIN,91.95,,,
MGL,1015.4,NO,NO,1037,1040,1013.5,1037.65,1103,725,371563,LOSS,-21.6,,,
TATACHEM,979.85,NO,NO,1008.9,1009,976.4,1004.55,1214.9,773.35,1289496,LOSS,-29.05,,,
INDUSTOWER,161.4,NO,NO,164,164.9,160.65,165.3,230.9,135.15,5940041,LOSS,-2.6,,,
TCS,3213.9,NO,NO,3237.3,3249.4,3209.15,3238.5,3575,2926.1,1119505,LOSS,-23.4,,,
GUJGASLTD,462,NO,NO,469.8,469.9,460.75,468.8,539.1,403.55,897119,LOSS,-7.8,,,
DABUR,564,NO,NO,560,565.75,556,562.65,610.75,492.05,1536193,GAIN,4,,,
LUPIN,857,NO,NO,851.45,865.8,846.3,852.35,885.3,603,2171748,GAIN,5.55,,,
OBEROIRLTY,982.5,NO,NO,999.95,1007.75,977,997.85,1088.95,726.55,459635,LOSS,-17.45,,,
PERSISTENT,4785,NO,YES,4858.95,4858.95,4781.35,4869.9,5278.95,3092.05,164604,LOSS,-73.95,,,
ICICIBANK,923.9,NO,NO,926.05,931.9,919,925.75,958.85,687,8767733,LOSS,-2.15,,,
GLENMARK,630.75,NO,NO,627.8,638.5,622.05,627.7,682.25,351.5,971554,GAIN,2.95,,,
BOSCHLTD,18647.15,YES,NO,18879.3,18959.7,18490.05,18879.3,19850.4,13450,30239,LOSS,-232.15,,,
TVSMOTOR,1304.5,NO,NO,1327.65,1329.95,1295.3,1326.15,1384.8,744.8,705445,LOSS,-23.15,,,
GRASIM,1715.25,NO,YES,1749.95,1749.95,1711.2,1750.3,1839.5,1299.1,342149,LOSS,-34.7,,,
RBLBANK,165.9,NO,NO,167,167.9,164.55,166.95,189.3,80.35,7795087,LOSS,-1.1,,,
UBL,1490.05,NO,YES,1515,1515,1482,1508.1,1806.45,1353.5,188147,LOSS,-24.95,,,
CANBK,296.35,NO,NO,301.2,301.7,294.6,300.9,341.7,178.45,4739916,LOSS,-4.85,,,
PIDILITIND,2657,NO,NO,2650.4,2683.6,2636,2636.3,2918.95,2079,789589,GAIN,6.6,,,
JUBLFOOD,480,NO,YES,496.9,496.9,477.15,495.3,652.35,412.1,2127202,LOSS,-16.9,,,
MARICO,529.9,YES,NO,524.25,529.9,522.3,524.25,558.75,462.7,1008663,GAIN,5.65,,,
POLYCAB,3432,NO,NO,3491,3511.15,3415.25,3483.95,3618,2104,272568,LOSS,-59,,,
RELIANCE,2517.8,NO,NO,2528.9,2533.4,2512,2535.5,2755,2180,3059084,LOSS,-11.1,,,
ADANIPORTS,712.5,NO,YES,741,741,703,745.6,987.85,395.1,15398550,LOSS,-28.5,,,
GAIL,105.1,NO,NO,104.35,105.4,103.3,104.45,113.95,83,7880417,GAIN,0.75,,,
COFORGE,4485,NO,YES,4532,4532,4460,4534.7,4678.8,3210.05,173418,LOSS,-47,,,
AUROPHARMA,699.8,NO,NO,668,701,665.75,671.65,701,397.2,4074717,GAIN,31.8,,,
BERGEPAINT,672.85,NO,NO,669.95,678.75,669.05,670.05,710.3,527.15,798558,GAIN,2.9,,,
TATASTEEL,109.35,NO,NO,110.5,110.75,109.2,111.1,124.3,82.7,22190233,LOSS,-1.15,,,
GODREJPROP,1496.45,NO,NO,1498.9,1519.65,1478.7,1497.8,1589,1005,485432,LOSS,-2.45,,,
DALBHARAT,2168,NO,NO,2193.85,2198.55,2162.95,2200.4,2288.8,1238,104348,LOSS,-25.85,,,
HDFCBANK,1642.9,NO,NO,1637.55,1659.9,1634.05,1643.6,1734.45,1318.5,10669609,GAIN,5.35,,,
ZYDUSLIFE,557,NO,NO,552.1,561.3,547.9,552.9,564.8,340,1062160,GAIN,4.9,,,
TITAN,2933.05,NO,NO,2972.5,2981,2932,2970.25,3024.4,1825.05,869340,LOSS,-39.45,,,
IPCALAB,728,NO,NO,727.25,733.75,723.05,730.55,1034.3,669.8,948572,GAIN,0.75,,,
APOLLOHOSP,5047.9,NO,YES,5084.4,5084.4,5001,5066,5294,3635.2,335552,LOSS,-36.5,,,
TATACONSUM,842.7,NO,NO,842,846.2,831.65,841.9,877.2,686.6,806171,GAIN,0.7,,,
COROMANDEL,929.4,NO,NO,953,957.25,916,950.35,1094,838,759784,LOSS,-23.6,,,
BEL,119.9,NO,NO,123.75,123.9,119.5,123.45,127.35,74.72,12413343,LOSS,-3.85,,,
FEDERALBNK,122,NO,YES,123.75,123.75,121.75,123.8,143.4,85.55,6602216,LOSS,-1.75,,,
INDIGO,2470,NO,NO,2480,2508.95,2462,2476.95,2508.95,1571.75,748652,LOSS,-10,,,
MCX,1568.8,NO,NO,1619,1625.8,1517.1,1622.1,1697.1,1156,605597,LOSS,-50.2,,,
BHARTIARTL,851.3,NO,NO,844,862.75,841.35,842.8,888.75,628.75,7667340,GAIN,7.3,,,
SAIL,84.2,NO,NO,84.55,85.35,83.8,85.15,93.9,65.95,10873933,LOSS,-0.35,,,
CHAMBLFERT,267.9,NO,NO,273.9,273.95,267.05,273.45,366.8,248.4,1260380,LOSS,-6,,,
LAURUSLABS,350.15,NO,NO,355,357.65,349.05,355.95,605.5,278.85,1176039,LOSS,-4.85,,,
CUB,119.9,NO,YES,124.25,124.25,119.5,123.95,205,119.5,5279965,LOSS,-4.35,,,
NAUKRI,4295,NO,NO,4390,4399.95,4282.25,4404.35,4624.9,3308.2,242192,LOSS,-95,,,
SRF,2311,NO,YES,2379.25,2379.25,2305.1,2366.6,2865,2002.2,678470,LOSS,-68.25,,,
JSWSTEEL,745,NO,NO,750,758.7,743.85,752.35,786.5,541,1704679,LOSS,-5,,,
INDIAMART,2908.95,NO,NO,2928,2938.6,2885,2928.25,3048.5,1838,131604,LOSS,-19.05,,,
TORNTPHARM,1863.6,NO,NO,1854.85,1870,1795,1862.65,1884.9,1405.03,135365,GAIN,8.75,,,
HDFC,2725.5,NO,NO,2701.15,2742.7,2700.55,2715.9,2867,2133.1,3089041,GAIN,24.35,,,
COALINDIA,226.05,NO,NO,227.1,227.55,224.8,226.95,263.4,174.8,3881707,LOSS,-1.05,,,
SUNTV,427.25,NO,NO,443.75,446.8,426.1,439.75,568.5,393.8,784252,LOSS,-16.5,,,
BIOCON,236.75,NO,YES,239.3,239.3,234.8,238.95,341.65,191.55,1917570,LOSS,-2.55,,,
CIPLA,990.3,NO,YES,999.95,999.95,985.65,998.3,1185.25,852,1776614,LOSS,-9.65,,,
ASIANPAINT,3297,NO,NO,3265,3304.15,3253.05,3248.05,3582.9,2674.95,1260659,GAIN,32,,,
HINDPETRO,269.45,NO,NO,273,274.75,265,275,279.5,200.05,6014578,LOSS,-3.55,,,
IOC,89.35,NO,NO,92.3,92.4,88.85,92,93.7,65.2,18134295,LOSS,-2.95,,,
PNB,50.4,NO,NO,50.8,50.9,50.15,51,62,28.7,28505207,LOSS,-0.4,,,
GNFC,573,NO,NO,589.5,589.7,572,587.65,798.5,484.45,1055287,LOSS,-16.5,,,
ABCAPITAL,175.45,NO,NO,172,175.9,168,171.65,183.6,87.95,5225285,GAIN,3.45,,,
UPL,667,NO,NO,674.75,675.75,665.5,674.4,807,607.5,1884124,LOSS,-7.75,,,
ITC,445.1,NO,NO,447.5,447.65,442.7,447.65,455.9,262.4,6090901,LOSS,-2.4,,,
VOLTAS,749.5,NO,NO,768.2,777.5,748.5,782.1,1064.95,737.2,4692817,LOSS,-18.7,,,
SBIN,555.45,NO,NO,562,562.1,553.8,562.95,629.55,446,12215712,LOSS,-6.55,,,
COLPAL,1631,NO,NO,1640,1643.85,1625.6,1637.15,1714.45,1434.6,174330,LOSS,-9,,,
MARUTI,9325,NO,NO,9420,9427,9305,9403.05,9800,7803,309138,LOSS,-95,,,
ABFRL,203.4,NO,NO,210,210.15,203,209.25,359.5,184.4,2687605,LOSS,-6.6,,,
HINDUNILVR,2647,NO,NO,2651.3,2660.55,2627.45,2654.35,2741.6,2192.1,991214,LOSS,-4.3,,,
AARTIIND,502.7,NO,YES,524.25,524.25,501,524.3,924.4,482.4,2035407,LOSS,-21.55,,,
INDHOTEL,380,NO,NO,383.4,386.55,378.45,382.65,406,214.4,3902114,LOSS,-3.4,,,
MRF,99301,NO,YES,99977,99977,98880.05,99868.45,100950,68040.55,4670,LOSS,-676,,,
PAGEIND,37601,NO,YES,38186,38186,37333.55,37958.95,54349.1,34952.65,16827,LOSS,-585,,,
INTELLECT,593,NO,NO,597,602.25,591.3,599.1,714.65,388.65,338024,LOSS,-4,,,
ABBOTINDIA,22550.1,NO,NO,22670,22719.95,22470.05,22554.85,23300,17325,8049,LOSS,-119.9,,,
M&M,1374.35,NO,NO,1376.9,1379.6,1368.5,1378.7,1422.8,985.2,1258590,LOSS,-2.55,,,
ASHOKLEY,161.6,NO,YES,164.25,164.25,159.65,164,170.55,133.1,9807312,LOSS,-2.65,,,
NAVINFLUOR,4450.9,NO,NO,4557.95,4577.4,4441.15,4553.95,4950,3527.85,119027,LOSS,-107.05,,,
LTIM,4950,NO,NO,4999.95,5010.9,4910.85,5026.05,5010.9,4910.85,263039,LOSS,-49.95,,,
GRANULES,286.95,YES,NO,287.95,290.65,281.35,287.95,381,238.5,1132378,LOSS,-1,,,
JKCEMENT,3341.5,NO,YES,3404,3404,3333,3405.75,3450,2003.7,83000,LOSS,-62.5,,,
INDUSINDBK,1309.4,YES,NO,1272.7,1318,1262,1272.7,1342.9,763.2,4636121,GAIN,36.7,,,
ULTRACEMCO,8068.6,NO,NO,8163.2,8165.05,8060,8162.75,8432.15,5358.05,198255,LOSS,-94.6,,,
AUBANK,736.6,NO,NO,742.6,745.7,734.1,740.8,795,539,617906,LOSS,-6,,,
MCDOWELL-N,904.85,NO,NO,892,909,888.35,894.25,951.8,730.55,953329,GAIN,12.85,,,
ALKEM,3350,NO,NO,3348.4,3373.4,3307.2,3349.4,3625,2855,187418,GAIN,1.6,,,
ONGC,156.45,NO,YES,159,159,155.4,158.95,169,119.85,8722650,LOSS,-2.55,,,
INDIACEM,209.8,NO,NO,218.35,218.65,209,218.2,298.95,152.3,4549273,LOSS,-8.55,,,
SHREECEM,25159.55,NO,NO,25650,25650.05,25066,25656.35,27049,18239.65,25869,LOSS,-490.45,,,
RAIN,163.85,NO,NO,165.9,166.95,162.2,165.1,206.35,134.8,1757181,LOSS,-2.05,,,
IRCTC,627.9,YES,NO,644.9,646,625.6,644.9,774.9,557,1975633,LOSS,-17,,,
BHARATFORG,804.4,NO,NO,816.8,818.7,801.65,814.95,919.45,630,522363,LOSS,-12.4,,,
BPCL,360.5,NO,NO,370.2,371,358.3,373.4,380.45,288.05,5467448,LOSS,-9.7,,,
CHOLAFIN,1090,NO,NO,1100.25,1106.05,1077.35,1100.2,1155,612.1,976315,LOSS,-10.25,,,
DIVISLAB,3469,NO,NO,3527,3537.85,3450.1,3543.85,3973.9,2730,455679,LOSS,-58,,,
RAMCOCEM,932.15,NO,NO,929,937.65,917.6,932.8,951.7,580,380440,GAIN,3.15,,,
HAL,3638,NO,NO,3779.8,3860,3621,3760.45,3950,1720.1,4286484,LOSS,-141.8,,,
PETRONET,218.7,YES,NO,222.85,223,218.5,222.85,242.4,195.7,1206748,LOSS,-4.15,,,
AMBUJACEM,425,NO,YES,445,445,424,444.85,598,315.3,4859137,LOSS,-20,,,
SUNPHARMA,990.15,NO,NO,994,995.95,977.3,990.3,1072.15,808.5,1218237,LOSS,-3.85,,,
MANAPPURAM,123.4,NO,NO,125.8,125.95,122.85,126.1,133.95,83.55,6584498,LOSS,-2.4,,,
ESCORTS,2153.9,NO,NO,2152.5,2160.05,2117.2,2162.05,2358.35,1306.7,188859,GAIN,1.4,,,
BANDHANBNK,235.9,NO,NO,239.2,243.4,234.9,238.6,314.8,182.15,9582241,LOSS,-3.3,,,
BAJAJFINSV,1501.75,NO,NO,1507.5,1519.7,1483.95,1507.65,3569,1215,1237464,LOSS,-5.75,,,
IDFC,98.4,NO,NO,99.85,100.75,97.45,99.9,110.5,44.3,6923753,LOSS,-1.45,,,
SBICARD,855,NO,YES,879,879,854.25,880.3,1028.65,695.55,1100838,LOSS,-24,,,
DELTACORP,238,NO,NO,241,242,231,239.75,254.75,165.1,4156188,LOSS,-3,,,
PVRINOX,1380.1,NO,NO,1383.9,1390.35,1366.6,1381.5,1390.35,1366.6,366721,LOSS,-3.8,,,
BAJFINANCE,6989,NO,NO,7020.95,7055,6956.1,7030,7778,5335.05,815226,LOSS,-31.95,,,
DIXON,4330,NO,NO,4450,4474.95,4298,4446.9,4730,2553,662654,LOSS,-120,,,
IDEA,7.45,NO,NO,7.5,7.6,7.3,7.45,10.1,5.7,121876136,LOSS,-0.05,,,
CONCOR,639.2,YES,NO,642.45,649.8,633.05,642.45,828.75,555,653943,LOSS,-3.25,,,
ZEEL,176.45,NO,NO,180.8,180.9,175.8,179.45,287,170.1,8603527,LOSS,-4.35,,,
